Rank,Title,Studio,Worldwide,Domestic / %,Overseas / %,Year^,,
70,Inception,WB,$828.30 ,$292.60 ,35.30%,$535.70 ,64.70%,2010
71,Wonder Woman,WB,$821.80 ,$412.60 ,50.20%,$409.30 ,49.80%,2017
72,Spider-Man,Sony,$821.70 ,$403.70 ,49.10%,$418.00 ,50.90%,2002
73,Independence Day,Fox,$817.40 ,$306.20 ,37.50%,$511.20 ,62.50%,1996^
74,Fantastic Beasts and Where To Find Them,WB,$814.00 ,$234.00 ,28.80%,$580.00 ,71.20%,2016
75,Coco,BV,$807.10 ,$209.70 ,26.00%,$597.40 ,74.00%,2017
76,Shrek the Third,P/DW,$799.00 ,$322.70 ,40.40%,$476.20 ,59.60%,2007
77,Harry Potter and the Prisoner of Azkaban,WB,$796.70 ,$249.50 ,31.30%,$547.10 ,68.70%,2004
78,Pirates of the Caribbean: Dead Men Tell No Tales,BV,$794.90 ,$172.60 ,21.70%,$622.30 ,78.30%,2017
79,E.T.: The Extra-Terrestrial,Uni.,$792.90 ,$435.10 ,54.90%,$357.80 ,45.10%,1982^
80,Mission: Impossible - Fallout,Par.,$791.00 ,$220.20 ,27.80%,$570.90 ,72.20%,2018
81,Fast & Furious 6,Uni.,$788.70 ,$238.70 ,30.30%,$550.00 ,69.70%,2013
82,Indiana Jones and the Kingdom of the Crystal Skull,Par.,$786.60 ,$317.10 ,40.30%,$469.50 ,59.70%,2008
83,Spider-Man 2,Sony,$783.80 ,$373.60 ,47.70%,$410.20 ,52.30%,2004
84,Deadpool,Fox,$783.10 ,$363.10 ,46.40%,$420.00 ,53.60%,2016
85,Star Wars,Fox,$775.40 ,$461.00 ,59.50%,$314.40 ,40.50%,1977^
86,Guardians of the Galaxy,BV,$773.30 ,$333.20 ,43.10%,$440.20 ,56.90%,2014
87,2012,Sony,$769.70 ,$166.10 ,21.60%,$603.60 ,78.40%,2009
88,Maleficent,BV,$758.50 ,$241.40 ,31.80%,$517.10 ,68.20%,2014
89,The Da Vinci Code,Sony,$758.20 ,$217.50 ,28.70%,$540.70 ,71.30%,2006
90,The Amazing Spider-Man,Sony,$757.90 ,$262.00 ,34.60%,$495.90 ,65.40%,2012
91,The Hunger Games: Mockingjay - Part 1,LGF,$755.40 ,$337.10 ,44.60%,$418.20 ,55.40%,2014
92,Shrek Forever After,P/DW,$752.60 ,$238.70 ,31.70%,$513.90 ,68.30%,2010
93,X-Men: Days of Future Past,Fox,$747.90 ,$233.90 ,31.30%,$513.90 ,68.70%,2014
94,Madagascar 3: Europe's Most Wanted,P/DW,$746.90 ,$216.40 ,29.00%,$530.50 ,71.00%,2012
95,Suicide Squad,WB,$746.80 ,$325.10 ,43.50%,$421.70 ,56.50%,2016
96,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,$745.00 ,$291.70 ,39.20%,$453.30 ,60.80%,2005
97,Monsters University,BV,$744.20 ,$268.50 ,36.10%,$475.70 ,63.90%,2013
98,The Matrix Reloaded,WB,$742.10 ,$281.60 ,37.90%,$460.60 ,62.10%,2003
99,Up,BV,$735.10 ,$293.00 ,39.90%,$442.10 ,60.10%,2009
100,Deadpool 2,Fox,$734.20 ,$318.50 ,43.40%,$415.80 ,56.60%,2018
